a,b,c,Tc,Th,Ih,V,Q
5.76964311,5.76964311,1.560070686,302.0982601,319.0618118,0,0.004279862,0.120109477
5.76964311,5.76964311,1.560070686,302.0982601,319.0618118,0.147537484,0.003424294,0.131419002
5.76964311,5.76964311,1.560070686,302.0982601,319.0618118,0.295074969,0.002568629,0.142853244
5.76964311,5.76964311,1.560070686,302.0982601,319.0618118,0.442612453,0.001712827,0.154412506
5.76964311,5.76964311,1.560070686,302.0982601,319.0618118,0.590149938,8.57E-04,0.166086942
5.76964311,5.76964311,1.560070686,302.0982601,319.0618118,0.737687422,9.61E-07,0.177890699
3.266473219,3.266473219,8.797930446,332.9976097,345.595033,0,0.003370922,0.003960983
3.266473219,3.266473219,8.797930446,332.9976097,345.595033,0.005668498,0.002697409,0.004467902
3.266473219,3.266473219,8.797930446,332.9976097,345.595033,0.011336997,0.002023903,0.004978004
3.266473219,3.266473219,8.797930446,332.9976097,345.595033,0.017005495,0.001350296,0.005492487
3.266473219,3.266473219,8.797930446,332.9976097,345.595033,0.022673994,6.77E-04,0.00601048
3.266473219,3.266473219,8.797930446,332.9976097,345.595033,0.028342492,2.86E-06,0.006532307
9.205473536,9.205473536,5.717481333,292.4843108,303.4562276,0,0.002668642,0.056454385
9.205473536,9.205473536,5.717481333,292.4843108,303.4562276,0.068419021,0.002134551,0.061340731
9.205473536,9.205473536,5.717481333,292.4843108,303.4562276,0.136838041,0.001600435,0.066263354
9.205473536,9.205473536,5.717481333,292.4843108,303.4562276,0.205257062,0.001066284,0.071222312
9.205473536,9.205473536,5.717481333,292.4843108,303.4562276,0.273676082,5.32E-04,0.076215361
9.205473536,9.205473536,5.717481333,292.4843108,303.4562276,0.342095103,-1.99E-06,0.081245857
7.815249573,7.815249573,4.326261631,285.6698171,339.7982762,0,0.013683083,0.245864145
7.815249573,7.815249573,4.326261631,285.6698171,339.7982762,0.307594854,0.01096383,0.268494938
7.815249573,7.815249573,4.326261631,285.6698171,339.7982762,0.615189708,0.008241944,0.29190573
7.815249573,7.815249573,4.326261631,285.6698171,339.7982762,0.922784562,0.00551542,0.316164442
7.815249573,7.815249573,4.326261631,285.6698171,339.7982762,1.230379417,0.002783451,0.341236358
7.815249573,7.815249573,4.326261631,285.6698171,339.7982762,1.537974271,4.45E-05,0.367146637
1.426394462,1.426394462,9.465620379,316.9512588,348.9021492,0,0.008453582,0.001909089
1.426394462,1.426394462,9.465620379,316.9512588,348.9021492,0.002603255,0.006771201,0.002129369
1.426394462,1.426394462,9.465620379,316.9512588,348.9021492,0.005206511,0.005088192,0.002353932
1.426394462,1.426394462,9.465620379,316.9512588,348.9021492,0.007809766,0.003404363,0.002582608
1.426394462,1.426394462,9.465620379,316.9512588,348.9021492,0.010413021,0.00171924,0.00281571
1.426394462,1.426394462,9.465620379,316.9512588,348.9021492,0.013016276,3.25E-05,0.003053177
11.67518486,11.67518486,6.731827203,296.1783822,334.7750663,0,0.009842285,0.250136523
11.67518486,11.67518486,6.731827203,296.1783822,334.7750663,0.313193332,0.007880928,0.274094318
11.67518486,11.67518486,6.731827203,296.1783822,334.7750663,0.626386664,0.005918446,0.298651818
11.67518486,11.67518486,6.731827203,296.1783822,334.7750663,0.939579996,0.003954593,0.323787907
11.67518486,11.67518486,6.731827203,296.1783822,334.7750663,1.252773328,0.001988528,0.349546145
11.67518486,11.67518486,6.731827203,296.1783822,334.7750663,1.565966661,1.98E-05,0.375919039
9.918521134,9.918521134,5.198672829,308.7447288,341.6171315,0,0.008571762,0.186426494
9.918521134,9.918521134,5.198672829,308.7447288,341.6171315,0.242128514,0.006864179,0.206113314
9.918521134,9.918521134,5.198672829,308.7447288,341.6171315,0.484257027,0.005156104,0.226177201
9.918521134,9.918521134,5.198672829,308.7447288,341.6171315,0.726385541,0.003446867,0.246674938
9.918521134,9.918521134,5.198672829,308.7447288,341.6171315,0.968514055,0.001736398,0.267569153
9.918521134,9.918521134,5.198672829,308.7447288,341.6171315,1.210642569,2.43E-05,0.288876903
3.667127925,3.667127925,2.454120276,287.9872072,325.1149616,0,0.009251761,0.068215616
3.667127925,3.667127925,2.454120276,287.9872072,325.1149616,0.083598044,0.007404648,0.074295619
3.667127925,3.667127925,2.454120276,287.9872072,325.1149616,0.167196088,0.005557137,0.08051576
3.667127925,3.667127925,2.454120276,287.9872072,325.1149616,0.250794132,0.003707675,0.086898908
3.667127925,3.667127925,2.454120276,287.9872072,325.1149616,0.334392176,0.001856586,0.093430685
3.667127925,3.667127925,2.454120276,287.9872072,325.1149616,0.41799022,3.20E-06,0.100117969
8.278192967,8.278192967,8.293023334,311.3910625,328.0471263,0,0.004298112,0.043352664
8.278192967,8.278192967,8.293023334,311.3910625,328.0471263,0.054631851,0.00343916,0.04776589
8.278192967,8.278192967,8.293023334,311.3910625,328.0471263,0.109263702,0.002580117,0.052225416
8.278192967,8.278192967,8.293023334,311.3910625,328.0471263,0.163895553,0.001721187,0.056725097
8.278192967,8.278192967,8.293023334,311.3910625,328.0471263,0.218527404,8.62E-04,0.061275116
8.278192967,8.278192967,8.293023334,311.3910625,328.0471263,0.273159255,2.38E-06,0.06587255
11.43564725,11.43564725,1.764192615,323.6971971,336.5159914,0,0.003379118,0.274563794
11.43564725,11.43564725,1.764192615,323.6971971,336.5159914,0.364574064,0.002703774,0.305793001
11.43564725,11.43564725,1.764192615,323.6971971,336.5159914,0.729148129,0.002028389,0.33726539
11.43564725,11.43564725,1.764192615,323.6971971,336.5159914,1.093722193,0.001353132,0.368933016
11.43564725,11.43564725,1.764192615,323.6971971,336.5159914,1.458296258,6.78E-04,0.400872943
11.43564725,11.43564725,1.764192615,323.6971971,336.5159914,1.822870322,2.05E-06,0.433062276
6.181125525,6.181125525,9.657474061,283.1748191,312.9625242,0,0.00724563,0.04085719
6.181125525,6.181125525,9.657474061,283.1748191,312.9625242,0.049496379,0.00579636,0.044304952
6.181125525,6.181125525,9.657474061,283.1748191,312.9625242,0.098992758,0.004346593,0.047823247
6.181125525,6.181125525,9.657474061,283.1748191,312.9625242,0.148489136,0.002896133,0.051412409
6.181125525,6.181125525,9.657474061,283.1748191,312.9625242,0.197985515,0.001445225,0.055068663
6.181125525,6.181125525,9.657474061,283.1748191,312.9625242,0.247481894,-7.05E-06,0.058798038
4.823972584,4.823972584,11.04848666,294.9793096,346.6814073,0,0.013324361,0.033279143
4.823972584,4.823972584,11.04848666,294.9793096,346.6814073,0.042807462,0.010681931,0.036580772
4.823972584,4.823972584,11.04848666,294.9793096,346.6814073,0.085614924,0.008036704,0.039997436
4.823972584,4.823972584,11.04848666,294.9793096,346.6814073,0.128422385,0.005387872,0.043522133
4.823972584,4.823972584,11.04848666,294.9793096,346.6814073,0.171229847,0.002733721,0.047160781
4.823972584,4.823972584,11.04848666,294.9793096,346.6814073,0.214037309,7.35E-05,0.050910143
11.01333634,11.01333634,2.812346949,302.7031532,345.1793466,0,0.011034969,0.55084979
11.01333634,11.01333634,2.812346949,302.7031532,345.1793466,0.714617143,0.008842128,0.607681868
11.01333634,11.01333634,2.812346949,302.7031532,345.1793466,1.429234286,0.006647689,0.666129371
11.01333634,11.01333634,2.812346949,302.7031532,345.1793466,2.143851429,0.004451074,0.72611146
11.01333634,11.01333634,2.812346949,302.7031532,345.1793466,2.858468572,0.002251803,0.787599153
11.01333634,11.01333634,2.812346949,302.7031532,345.1793466,3.573085715,4.90E-05,0.850653339
2.056267771,2.056267771,5.56747368,284.1167083,330.9158112,0,0.011681994,0.011811259
2.056267771,2.056267771,5.56747368,284.1167083,330.9158112,0.014539519,0.009354017,0.012857634
2.056267771,2.056267771,5.56747368,284.1167083,330.9158112,0.029079037,0.007023454,0.013939403
2.056267771,2.056267771,5.56747368,284.1167083,330.9158112,0.043618556,0.004690097,0.015054389
2.056267771,2.056267771,5.56747368,284.1167083,330.9158112,0.058158075,0.002353459,0.016201874
2.056267771,2.056267771,5.56747368,284.1167083,330.9158112,0.072697594,1.23E-05,0.017383475
10.12464781,10.12464781,4.881226578,318.8178592,350.4174937,0,0.008384836,0.181015386
10.12464781,10.12464781,4.881226578,318.8178592,350.4174937,0.250027713,0.006716411,0.202353675
10.12464781,10.12464781,4.881226578,318.8178592,350.4174937,0.500055426,0.005047378,0.224099969
10.12464781,10.12464781,4.881226578,318.8178592,350.4174937,0.750083139,0.003377557,0.24623661
10.12464781,10.12464781,4.881226578,318.8178592,350.4174937,1.000110852,0.001706472,0.268795451
10.12464781,10.12464781,4.881226578,318.8178592,350.4174937,1.250138566,3.38E-05,0.291770013
5.042331863,5.042331863,6.623687155,289.165158,307.244986,0,0.004400525,0.024074056
5.042331863,5.042331863,6.623687155,289.165158,307.244986,0.029171774,0.003519966,0.026140716
5.042331863,5.042331863,6.623687155,289.165158,307.244986,0.058343549,0.002639294,0.028232783
5.042331863,5.042331863,6.623687155,289.165158,307.244986,0.087515323,0.001758465,0.030350328
5.042331863,5.042331863,6.623687155,289.165158,307.244986,0.116687097,8.78E-04,0.032491896
5.042331863,5.042331863,6.623687155,289.165158,307.244986,0.145858872,-3.53E-06,0.034659696
6.43450229,6.43450229,7.971722725,299.9264713,343.6660348,0,0.011309515,0.069401984
6.43450229,6.43450229,7.971722725,299.9264713,343.6660348,0.089201767,0.009061768,0.076403161
6.43450229,6.43450229,7.971722725,299.9264713,343.6660348,0.178403533,0.006812281,0.083609945
6.43450229,6.43450229,7.971722725,299.9264713,343.6660348,0.2676053,0.004560425,0.091013073
6.43450229,6.43450229,7.971722725,299.9264713,343.6660348,0.356807066,0.002305662,0.098609422
6.43450229,6.43450229,7.971722725,299.9264713,343.6660348,0.446008833,4.70E-05,0.106406216
4.159528104,4.159528104,4.03257217,305.9516718,332.9995632,0,0.006970705,0.03646329
4.159528104,4.159528104,4.03257217,305.9516718,332.9995632,0.046042106,0.005579854,0.040117186
4.159528104,4.159528104,4.03257217,305.9516718,332.9995632,0.092084212,0.004188238,0.04384184
4.159528104,4.159528104,4.03257217,305.9516718,332.9995632,0.138126318,0.00279619,0.047626276
4.159528104,4.159528104,4.03257217,305.9516718,332.9995632,0.184168424,0.001403288,0.051477607
4.159528104,4.159528104,4.03257217,305.9516718,332.9995632,0.23021053,9.57E-06,0.055390106
1.782911658,1.782911658,11.95198077,327.0078336,340.3731342,0,0.003545112,9.88E-04
1.782911658,1.782911658,11.95198077,327.0078336,340.3731342,0.001346524,0.002836905,0.001105448
1.782911658,1.782911658,11.95198077,327.0078336,340.3731342,0.002693049,0.002128458,0.00122365
1.782911658,1.782911658,11.95198077,327.0078336,340.3731342,0.004039573,0.001419993,0.001342686
1.782911658,1.782911658,11.95198077,327.0078336,340.3731342,0.005386098,7.11E-04,0.00146273
1.782911658,1.782911658,11.95198077,327.0078336,340.3731342,0.006732622,2.69E-06,0.001583735
7.550378242,7.550378242,2.64668786,297.3631433,317.9900212,0,0.005161883,0.149128678
7.550378242,7.550378242,2.64668786,297.3631433,317.9900212,0.182434346,0.004130031,0.162801697
7.550378242,7.550378242,2.64668786,297.3631433,317.9900212,0.364868692,0.003098005,0.176660413
7.550378242,7.550378242,2.64668786,297.3631433,317.9900212,0.547303038,0.002065732,0.190705401
7.550378242,7.550378242,2.64668786,297.3631433,317.9900212,0.729737383,0.001033438,0.204924278
7.550378242,7.550378242,2.64668786,297.3631433,317.9900212,0.912171729,5.61E-07,0.219335399
8.910830911,8.910830911,1.298439777,291.7284872,351.4973932,0,0.015409482,1.101837029
8.910830911,8.910830911,1.298439777,291.7284872,351.4973932,1.430017604,0.012363496,1.211181068
8.910830911,8.910830911,1.298439777,291.7284872,351.4973932,2.860035208,0.0093133,1.32493402
8.910830911,8.910830911,1.298439777,291.7284872,351.4973932,4.290052813,0.006257597,1.442835645
8.910830911,8.910830911,1.298439777,291.7284872,351.4973932,5.720070417,0.003193981,1.56507974
8.910830911,8.910830911,1.298439777,291.7284872,351.4973932,7.150088021,1.21E-04,1.691677423
3.037521794,3.037521794,7.128407048,311.98701,336.6561249,0,0.006425969,0.009684856
3.037521794,3.037521794,7.128407048,311.98701,336.6561249,0.012478718,0.00514384,0.010704226
3.037521794,3.037521794,7.128407048,311.98701,336.6561249,0.024957436,0.003861069,0.011741786
3.037521794,3.037521794,7.128407048,311.98701,336.6561249,0.037436154,0.002577994,0.012794049
3.037521794,3.037521794,7.128407048,311.98701,336.6561249,0.049914872,0.001294291,0.01386278
3.037521794,3.037521794,7.128407048,311.98701,336.6561249,0.06239359,9.88E-06,0.01494754
10.58060535,10.58060535,9.894259104,293.4180567,320.2904054,0,0.006706869,0.102203169
10.58060535,10.58060535,9.894259104,293.4180567,320.2904054,0.125028104,0.005366614,0.111446285
10.58060535,10.58060535,9.894259104,293.4180567,320.2904054,0.250056208,0.004025975,0.120854161
10.58060535,10.58060535,9.894259104,293.4180567,320.2904054,0.375084312,0.002684797,0.130427485
10.58060535,10.58060535,9.894259104,293.4180567,320.2904054,0.500112417,0.001343341,0.140155644
10.58060535,10.58060535,9.894259104,293.4180567,320.2904054,0.625140521,7.84E-07,0.150054745
8.183227602,8.183227602,11.33710726,301.1095846,338.6508274,0,0.009673683,0.069025865
8.183227602,8.183227602,11.33710726,301.1095846,338.6508274,0.087709882,0.007747056,0.075912404
8.183227602,8.183227602,11.33710726,301.1095846,338.6508274,0.175419764,0.005819618,0.082955375
8.183227602,8.183227602,11.33710726,301.1095846,338.6508274,0.263129646,0.003890515,0.090172875
8.183227602,8.183227602,11.33710726,301.1095846,338.6508274,0.350839528,0.001959565,0.097553693
8.183227602,8.183227602,11.33710726,301.1095846,338.6508274,0.43854941,2.62E-05,0.105103503
4.725012993,4.725012993,8.603300338,286.8638265,320.1531511,0,0.008226938,0.029366207
4.725012993,4.725012993,8.603300338,286.8638265,320.1531511,0.035795837,0.006583044,0.031935048
4.725012993,4.725012993,8.603300338,286.8638265,320.1531511,0.071591675,0.004938438,0.034561587
4.725012993,4.725012993,8.603300338,286.8638265,320.1531511,0.107387512,0.003293355,0.037242335
4.725012993,4.725012993,8.603300338,286.8638265,320.1531511,0.14318335,0.001646624,0.039983794
4.725012993,4.725012993,8.603300338,286.8638265,320.1531511,0.178979187,-1.75E-06,0.042784515
9.325294213,9.325294213,3.432931834,316.8472393,333.6933067,0,0.004398972,0.128804197
9.325294213,9.325294213,3.432931834,316.8472393,333.6933067,0.166393932,0.003520067,0.142642702
9.325294213,9.325294213,3.432931834,316.8472393,333.6933067,0.332787864,0.002641322,0.156600707
9.325294213,9.325294213,3.432931834,316.8472393,333.6933067,0.499181795,0.001762193,0.170728437
9.325294213,9.325294213,3.432931834,316.8472393,333.6933067,0.665575727,8.83E-04,0.18499065
9.325294213,9.325294213,3.432931834,316.8472393,333.6933067,0.831969659,3.46E-06,0.199400679
7.638504039,7.638504039,6.539714959,320.4028849,343.8204787,0,0.006191529,0.058883969
7.638504039,7.638504039,6.539714959,320.4028849,343.8204787,0.079520365,0.00495641,0.065666156
7.638504039,7.638504039,6.539714959,320.4028849,343.8204787,0.15904073,0.003721162,0.072535212
7.638504039,7.638504039,6.539714959,320.4028849,343.8204787,0.238561096,0.002485446,0.079510857
7.638504039,7.638504039,6.539714959,320.4028849,343.8204787,0.318081461,0.001249294,0.086579316
7.638504039,7.638504039,6.539714959,320.4028849,343.8204787,0.397601826,1.25E-05,0.093746156
1.696650533,1.696650533,4.797341583,290.861249,313.7031434,0,0.005627732,0.004691414
1.696650533,1.696650533,4.797341583,290.861249,313.7031434,0.005703891,0.004502307,0.005103539
1.696650533,1.696650533,4.797341583,290.861249,313.7031434,0.011407781,0.00337665,0.005521994
1.696650533,1.696650533,4.797341583,290.861249,313.7031434,0.017111672,0.002250667,0.005946802
1.696650533,1.696650533,4.797341583,290.861249,313.7031434,0.022815562,0.00112459,0.006377592
1.696650533,1.696650533,4.797341583,290.861249,313.7031434,0.028519453,-2.21E-06,0.006814936
3.077979154,3.077979154,6.199129971,298.2645412,350.0591776,0,0.0134437,0.023558197
3.077979154,3.077979154,6.199129971,298.2645412,350.0591776,0.030785751,0.010780721,0.025978702
3.077979154,3.077979154,6.199129971,298.2645412,350.0591776,0.061571501,0.008115085,0.028478547
3.077979154,3.077979154,6.199129971,298.2645412,350.0591776,0.092357252,0.005445856,0.031056355
3.077979154,3.077979154,6.199129971,298.2645412,350.0591776,0.123143003,0.002771389,0.033716016
3.077979154,3.077979154,6.199129971,298.2645412,350.0591776,0.153928753,9.05E-05,0.036457436
1.327989961,1.327989961,7.710632369,307.5453569,326.2639604,0,0.004798322,0.001372568
1.327989961,1.327989961,7.710632369,307.5453569,326.2639604,0.001713629,0.003839486,0.001508484
1.327989961,1.327989961,7.710632369,307.5453569,326.2639604,0.003427259,0.002880521,0.001646021
1.327989961,1.327989961,7.710632369,307.5453569,326.2639604,0.005140888,0.001921649,0.001784993
1.327989961,1.327989961,7.710632369,307.5453569,326.2639604,0.006854517,9.62E-04,0.00192571
1.327989961,1.327989961,7.710632369,307.5453569,326.2639604,0.008568147,2.68E-06,0.002068084
4.958084406,4.958084406,2.562789117,329.6952878,351.139008,0,0.005745404,0.052371877
4.958084406,4.958084406,2.562789117,329.6952878,351.139008,0.075935721,0.004599611,0.05911942
4.958084406,4.958084406,2.562789117,329.6952878,351.139008,0.151871443,0.003453625,0.06595257
4.958084406,4.958084406,2.562789117,329.6952878,351.139008,0.227807164,0.002307403,0.072865618
4.958084406,4.958084406,2.562789117,329.6952878,351.139008,0.303742886,0.001160765,0.07986792
4.958084406,4.958084406,2.562789117,329.6952878,351.139008,0.379678607,1.36E-05,0.086957124
11.58083752,11.58083752,10.46608457,288.9812185,340.5273797,0,0.013099536,0.210379911
11.58083752,11.58083752,10.46608457,288.9812185,340.5273797,0.264495908,0.010496155,0.230143511
11.58083752,11.58083752,10.46608457,288.9812185,340.5273797,0.528991816,0.00789052,0.250547931
11.58083752,11.58083752,10.46608457,288.9812185,340.5273797,0.793487725,0.005280821,0.271652641
11.58083752,11.58083752,10.46608457,288.9812185,340.5273797,1.057983633,0.002666391,0.293425773
11.58083752,11.58083752,10.46608457,288.9812185,340.5273797,1.322479541,4.58E-05,0.315888557
5.181197935,5.181197935,4.614886659,309.3081028,347.7636488,0,0.010087325,0.06476872
