a,b,c,Tc,Th,Ih,V,Q
4.982101234,4.982101234,9.733789953,310.7268954,450.7463747,0,0.031682372,0.415054855
4.982101234,4.982101234,9.733789953,310.7268954,450.7463747,1.060253527,0.025311401,0.492570856
4.982101234,4.982101234,9.733789953,310.7268954,450.7463747,2.120507053,0.018908027,0.575993597
4.982101234,4.982101234,9.733789953,310.7268954,450.7463747,3.18076058,0.012434681,0.665579724
4.982101234,4.982101234,9.733789953,310.7268954,450.7463747,4.241014107,0.005854708,0.761488621
4.982101234,4.982101234,9.733789953,310.7268954,450.7463747,5.301267634,-8.67E-04,0.863867939
11.13330585,11.13330585,8.522049329,379.3670911,548.9943098,0,0.034792782,3.402353201
11.13330585,11.13330585,8.522049329,379.3670911,548.9943098,4.837132672,0.027701473,3.777409551
11.13330585,11.13330585,8.522049329,379.3670911,548.9943098,9.674265344,0.020622336,4.184638957
11.13330585,11.13330585,8.522049329,379.3670911,548.9943098,14.51139802,0.013537156,4.624173065
11.13330585,11.13330585,8.522049329,379.3670911,548.9943098,19.34853069,0.006431441,5.093263036
11.13330585,11.13330585,8.522049329,379.3670911,548.9943098,24.18566336,-7.14E-04,5.593578887
6.329034603,6.329034603,10.97184821,335.2476625,404.6533336,0,0.015962661,0.286175097
6.329034603,6.329034603,10.97184821,335.2476625,404.6533336,0.807892109,0.012767506,0.34973865
6.329034603,6.329034603,10.97184821,335.2476625,404.6533336,1.615784219,0.009565403,0.415727507
6.329034603,6.329034603,10.97184821,335.2476625,404.6533336,2.423676328,0.006351928,0.484174947
6.329034603,6.329034603,10.97184821,335.2476625,404.6533336,3.231568437,0.003121485,0.555149458
6.329034603,6.329034603,10.97184821,335.2476625,404.6533336,4.039460547,-1.31E-04,0.628655758
2.911077155,2.911077155,6.337965565,355.845626,543.5583771,0,0.039379724,0.335192368
2.911077155,2.911077155,6.337965565,355.845626,543.5583771,0.527269523,0.031320911,0.374733202
2.911077155,2.911077155,6.337965565,355.845626,543.5583771,1.054539045,0.02327404,0.418016827
2.911077155,2.911077155,6.337965565,355.845626,543.5583771,1.581808568,0.01520938,0.465075735
2.911077155,2.911077155,6.337965565,355.845626,543.5583771,2.10907809,0.007095795,0.515917239
2.911077155,2.911077155,6.337965565,355.845626,543.5583771,2.636347613,-0.001094491,0.570444081
9.063494904,9.063494904,3.541842027,358.6192307,390.0943279,0,0.007289777,0.81952842
9.063494904,9.063494904,3.541842027,358.6192307,390.0943279,2.291290749,0.005830787,1.011470852
9.063494904,9.063494904,3.541842027,358.6192307,390.0943279,4.582581498,0.004371552,1.206722581
9.063494904,9.063494904,3.541842027,358.6192307,390.0943279,6.873872247,0.002911027,1.405229609
9.063494904,9.063494904,3.541842027,358.6192307,390.0943279,9.165162995,0.001448905,1.60708161
9.063494904,9.063494904,3.541842027,358.6192307,390.0943279,11.45645374,-1.52E-05,1.812231756
7.660345006,7.660345006,2.051384656,428.0006588,493.3895845,0,0.013868266,2.496430274
7.660345006,7.660345006,2.051384656,428.0006588,493.3895845,3.76106399,0.011083167,2.8411595
7.660345006,7.660345006,2.051384656,428.0006588,493.3895845,7.52212798,0.008298657,3.195988788
7.660345006,7.660345006,2.051384656,428.0006588,493.3895845,11.28319197,0.005513264,3.56137628
7.660345006,7.660345006,2.051384656,428.0006588,493.3895845,15.04425596,0.002726007,3.936474035
7.660345006,7.660345006,2.051384656,428.0006588,493.3895845,18.80531995,-6.44E-05,4.321515699
10.31232366,10.31232366,11.65186077,435.7368688,579.8090394,0,0.026372666,2.054661762
10.31232366,10.31232366,11.65186077,435.7368688,579.8090394,2.067129465,0.021049058,2.216946598
10.31232366,10.31232366,11.65186077,435.7368688,579.8090394,4.134258929,0.015732227,2.390286781
10.31232366,10.31232366,11.65186077,435.7368688,579.8090394,6.201388394,0.01041871,2.574399682
10.31232366,10.31232366,11.65186077,435.7368688,579.8090394,8.268517858,0.005104564,2.769473657
10.31232366,10.31232366,11.65186077,435.7368688,579.8090394,10.33564732,-2.13E-04,2.974747297
1.550547856,1.550547856,5.099907311,288.960009,347.1443158,0,0.01279627,0.032243442
1.550547856,1.550547856,5.099907311,288.960009,347.1443158,0.11317443,0.010246729,0.039579174
1.550547856,1.550547856,5.099907311,288.960009,347.1443158,0.22634886,0.007690596,0.047184857
1.550547856,1.550547856,5.099907311,288.960009,347.1443158,0.339523289,0.005123945,0.05506709
1.550547856,1.550547856,5.099907311,288.960009,347.1443158,0.452697719,0.002539879,0.063245587
1.550547856,1.550547856,5.099907311,288.960009,347.1443158,0.565872149,-6.67E-05,0.071726539
8.113978226,8.113978226,6.536100692,297.0133865,571.3215066,0,0.056577103,3.719696857
8.113978226,8.113978226,6.536100692,297.0133865,571.3215066,6.122225874,0.04483345,4.0911205
8.113978226,8.113978226,6.536100692,297.0133865,571.3215066,12.24445175,0.033101669,4.524517435
8.113978226,8.113978226,6.536100692,297.0133865,571.3215066,18.36667762,0.021281838,5.018123765
8.113978226,8.113978226,6.536100692,297.0133865,571.3215066,24.4889035,0.009271123,5.572456485
8.113978226,8.113978226,6.536100692,297.0133865,571.3215066,30.61112937,-0.003023713,6.187830756
1.814905946,1.814905946,10.82276626,374.882241,465.6264908,0,0.020365401,0.03323108
1.814905946,1.814905946,10.82276626,374.882241,465.6264908,0.068192496,0.016268604,0.0390696
