a,b,c,Tc,Th,Ih,V,Q
11.19221386,11.19221386,5.514183732,841.9643625,870.1666339,0,0.005029622,2.364630478
11.19221386,11.19221386,5.514183732,841.9643625,870.1666339,3.697947879,0.004025006,2.922026198
11.19221386,11.19221386,5.514183732,841.9643625,870.1666339,7.395895759,0.003020388,3.4830537
11.19221386,11.19221386,5.514183732,841.9643625,870.1666339,11.09384364,0.002015767,4.047707744
11.19221386,11.19221386,5.514183732,841.9643625,870.1666339,14.79179152,0.001011284,4.616116944
11.19221386,11.19221386,5.514183732,841.9643625,870.1666339,18.4897394,6.67E-06,5.188239476
7.19349512,7.19349512,7.095603226,401.06528,591.8646814,0,0.028422895,4.826724022
7.19349512,7.19349512,7.095603226,401.06528,591.8646814,8.860636874,0.022733407,5.387730937
7.19349512,7.19349512,7.095603226,401.06528,591.8646814,17.72127375,0.017030602,5.999722484
7.19349512,7.19349512,7.095603226,401.06528,591.8646814,26.58191062,0.01131083,6.661734413
7.19349512,7.19349512,7.095603226,401.06528,591.8646814,35.4425475,0.005566423,7.376397612
7.19349512,7.19349512,7.095603226,401.06528,591.8646814,44.30318437,-2.08E-04,8.143668179
9.213180827,9.213180827,8.861992732,321.9039737,400.0574518,0,0.00977934,2.777689501
9.213180827,9.213180827,8.861992732,321.9039737,400.0574518,4.779828872,0.007816498,2.975722124
9.213180827,9.213180827,8.861992732,321.9039737,400.0574518,9.559657744,0.005852825,3.18301712
9.213180827,9.213180827,8.861992732,321.9039737,400.0574518,14.33948662,0.003888503,3.399303038
9.213180827,9.213180827,8.861992732,321.9039737,400.0574518,19.11931549,0.001922079,3.625145588
9.213180827,9.213180827,8.861992732,321.9039737,400.0574518,23.89914436,-4.65E-05,3.860480148
3.142559537,3.142559537,10.72205503,502.0628683,781.5422225,0,0.047034359,0.885280227
3.142559537,3.142559537,10.72205503,502.0628683,781.5422225,1.617283323,0.037609441,1.032254869
3.142559537,3.142559537,10.72205503,502.0628683,781.5422225,3.234566646,0.028153378,1.194239285
3.142559537,3.142559537,10.72205503,502.0628683,781.5422225,4.851849968,0.018652867,1.371416004
3.142559537,3.142559537,10.72205503,502.0628683,781.5422225,6.469133291,0.009084757,1.564856477
3.142559537,3.142559537,10.72205503,502.0628683,781.5422225,8.086416614,-5.68E-04,1.77492053
10.60620532,10.60620532,2.393599561,296.1247539,829.2155465,0,0.082950583,88.35347385
10.60620532,10.60620532,2.393599561,296.1247539,829.2155465,157.5948665,0.066329393,97.83119064
10.60620532,10.60620532,2.393599561,296.1247539,829.2155465,315.1897331,0.049477771,109.9100778
10.60620532,10.60620532,2.393599561,296.1247539,829.2155465,472.7845996,0.032273687,124.7348885
10.60620532,10.60620532,2.393599561,296.1247539,829.2155465,630.3794661,0.014584649,142.5669314
10.60620532,10.60620532,2.393599561,296.1247539,829.2155465,787.9743327,-0.003711842,163.6399661
11.33785716,11.33785716,2.172742282,371.5409431,489.9721765,0,0.016390494,24.84719173
11.33785716,11.33785716,2.172742282,371.5409431,489.9721765,44.78459986,0.013104413,27.24101682
11.33785716,11.33785716,2.172742282,371.5409431,489.9721765,89.56919971,0.009815542,29.78038798
11.33785716,11.33785716,2.172742282,371.5409431,489.9721765,134.3537996,0.006523621,32.46188102
11.33785716,11.33785716,2.172742282,371.5409431,489.9721765,179.1383994,0.00322534,35.29488367
11.33785716,11.33785716,2.172742282,371.5409431,489.9721765,223.9229993,-8.01E-05,38.27958545
1.150332805,1.150332805,8.353407591,670.6584453,752.1911263,0,0.014378921,0.044646326
1.150332805,1.150332805,8.353407591,670.6584453,752.1911263,0.080424338,0.011502982,0.054290868
1.150332805,1.150332805,8.353407591,670.6584453,752.1911263,0.160848676,0.008626464,0.064162733
1.150332805,1.150332805,8.353407591,670.6584453,752.1911263,0.241273014,0.005749048,0.074263366
1.150332805,1.150332805,8.353407591,670.6584453,752.1911263,0.321697352,0.002871113,0.084592513
1.150332805,1.150332805,8.353407591,670.6584453,752.1911263,0.402121691,-9.16E-06,0.095162839
6.432742973,6.432742973,4.434910516,526.2043026,696.3088899,0,0.028121892,5.420749703
6.432742973,6.432742973,4.434910516,526.2043026,696.3088899,10.01572585,0.022491293,6.327271859
6.432742973,6.432742973,4.434910516,526.2043026,696.3088899,20.03145169,0.016852899,7.28946851
6.432742973,6.432742973,4.434910516,526.2043026,696.3088899,30.04717754,0.011202681,8.308264771
6.432742973,6.432742973,4.434910516,526.2043026,696.3088899,40.06290338,0.005538222,9.38385369
6.432742973,6.432742973,4.434910516,526.2043026,696.3088899,50.07862923,-1.48E-04,10.51948355
3.9400447,3.9400447,9.946711806,381.4792574,739.2441694,0,0.056312821,1.932888211
3.9400447,3.9400447,9.946711806,381.4792574,739.2441694,3.532249208,0.045031068,2.174086701
3.9400447,3.9400447,9.946711806,381.4792574,739.2441694,7.064498416,0.033675119,2.454877235
3.9400447,3.9400447,9.946711806,381.4792574,739.2441694,10.59674762,0.022205611,2.777364916
3.9400447,3.9400447,9.946711806,381.4792574,739.2441694,14.12899683,0.010585538,3.142747968
3.9400447,3.9400447,9.946711806,381.4792574,739.2441694,17.66124604,-0.001227911,3.553804223
5.615671514,5.615671514,11.10081252,304.6226385,543.9350973,0,0.032698069,2.440043521
5.615671514,5.615671514,11.10081252,304.6226385,543.9350973,4.340742026,0.026159983,2.640413053
5.615671514,5.615671514,11.10081252,304.6226385,543.9350973,8.681484051,0.01959783,2.868923961
5.615671514,5.615671514,11.10081252,304.6226385,543.9350973,13.02222608,0.012999949,3.126354976
5.615671514,5.615671514,11.10081252,304.6226385,543.9350973,17.3629681,0.0063555,3.412996438
5.615671514,5.615671514,11.10081252,304.6226385,543.9350973,21.70371013,-3.49E-04,3.730051006
7.553386051,7.553386051,4.930708443,594.7039588,807.0543607,0,0.037144288,8.501964001
7.553386051,7.553386051,4.930708443,594.7039588,807.0543607,15.32063238,0.02970659,10.1661704
7.553386051,7.553386051,4.930708443,594.7039588,807.0543607,30.64126476,0.022257115,11.94190362
7.553386051,7.553386051,4.930708443,594.7039588,807.0543607,45.96189714,0.014789254,13.83110629
7.553386051,7.553386051,4.930708443,594.7039588,807.0543607,61.28252952,0.007297211,15.83722645
7.553386051,7.553386051,4.930708443,594.7039588,807.0543607,76.6031619,-2.31E-04,17.9646038
10.86452597,10.86452597,9.235336558,445.6030413,641.7001011,0,0.030607445,8.60740514
10.86452597,10.86452597,9.235336558,445.6030413,641.7001011,15.91920662,0.024478292,9.778069063
10.86452597,10.86452597,9.235336558,445.6030413,641.7001011,31.83841324,0.01833875,11.04222532
10.86452597,10.86452597,9.235336558,445.6030413,641.7001011,47.75761986,0.012177804,12.40761553
10.86452597,10.86452597,9.235336558,445.6030413,641.7001011,63.67682648,0.005991478,13.87263404
10.86452597,10.86452597,9.235336558,445.6030413,641.7001011,79.5960331,-2.28E-04,15.44204752
1.510244655,1.510244655,6.39330139,347.9751004,686.1954068,0,0.051173806,0.420427979
1.510244655,1.510244655,6.39330139,347.9751004,686.1954068,0.766298364,0.040927149,0.466723418
1.510244655,1.510244655,6.39330139,347.9751004,686.1954068,1.532596729,0.030618215,0.520659497
1.510244655,1.510244655,6.39330139,347.9751004,686.1954068,2.298895093,0.020209366,0.582786054
1.510244655,1.510244655,6.39330139,347.9751004,686.1954068,3.065193458,0.009668273,0.653323867
1.510244655,1.510244655,6.39330139,347.9751004,686.1954068,3.831491822,-0.00104344,0.732811185
8.310182379,8.310182379,1.777810488,541.1807041,837.6296409,0,0.051223696,39.90715348
8.310182379,8.310182379,1.777810488,541.1807041,837.6296409,71.59429753,0.040955454,47.08413978
8.310182379,8.310182379,1.777810488,541.1807041,837.6296409,143.1885951,0.030654346,54.97856771
8.310182379,8.310182379,1.777810488,541.1807041,837.6296409,214.7828926,0.020302094,63.60850865
8.310182379,8.310182379,1.777810488,541.1807041,837.6296409,286.3771901,0.009881963,72.99320611
8.310182379,8.310182379,1.777810488,541.1807041,837.6296409,357.9714877,-6.35E-04,83.17765065
5.669618496,5.669618496,8.567614785,412.2007608,858.3825597,0,0.073795039,5.826551003
5.669618496,5.669618496,8.567614785,412.2007608,858.3825597,10.44102684,0.058982868,6.652356085
5.669618496,5.669618496,8.567614785,412.2007608,858.3825597,20.88205368,0.044048467,7.629244626
5.669618496,5.669618496,8.567614785,412.2007608,858.3825597,31.32308052,0.028925183,8.76668714
5.669618496,5.669618496,8.567614785,412.2007608,858.3825597,41.76410736,0.013547964,10.07124895
5.669618496,5.669618496,8.567614785,412.2007608,858.3825597,52.2051342,-0.002152623,11.55113617
3.907718468,3.907718468,6.982447241,347.1393436,461.3869618,0,0.015253023,0.899337763
3.907718468,3.907718468,6.982447241,347.1393436,461.3869618,1.596332657,0.012193364,0.976349584
3.907718468,3.907718468,6.982447241,347.1393436,461.3869618,3.192665313,0.009132101,1.05801809
3.907718468,3.907718468,6.982447241,347.1393436,461.3869618,4.78899797,0.006066011,1.144714914
3.907718468,3.907718468,6.982447241,347.1393436,461.3869618,6.385330626,0.002995039,1.236267514
3.907718468,3.907718468,6.982447241,347.1393436,461.3869618,7.981663283,-8.25E-05,1.332834141
8.573765008,8.573765008,3.549073725,627.6479343,797.4864506,0,0.029944359,12.19194234
8.573765008,8.573765008,3.549073725,627.6479343,797.4864506,21.91692078,0.023952253,14.69590825
8.573765008,8.573765008,3.549073725,627.6479343,797.4864506,43.83384155,0.017954392,17.32843561
8.573765008,8.573765008,3.549073725,627.6479343,797.4864506,65.75076233,0.011948819,20.09075727
8.573765008,8.573765008,3.549073725,627.6479343,797.4864506,87.6676831,0.005929096,22.98734443
