a,b,c,Tc,Th,Ih,V,Q
11.49401305,11.49401305,9.455000061,467.2722996,671.0306764,0,0.040900859,2.44743877
11.49401305,11.49401305,9.455000061,467.2722996,671.0306764,8.75152802,0.032717867,3.312201732
11.49401305,11.49401305,9.455000061,467.2722996,671.0306764,17.50305604,0.024462979,4.250488154
11.49401305,11.49401305,9.455000061,467.2722996,671.0306764,26.25458406,0.016096241,5.267483449
11.49401305,11.49401305,9.455000061,467.2722996,671.0306764,35.00611208,0.007581735,6.361490393
11.49401305,11.49401305,9.455000061,467.2722996,671.0306764,43.7576401,-0.001148074,7.548306258
9.117779495,9.117779495,1.31778386,622.1871856,724.2983703,0,0.022247514,5.275405348
9.117779495,9.117779495,1.31778386,622.1871856,724.2983703,18.26180349,0.017797248,7.795837126
9.117779495,9.117779495,1.31778386,622.1871856,724.2983703,36.52360699,0.013338296,10.39434246
9.117779495,9.117779495,1.31778386,622.1871856,724.2983703,54.78541048,0.00886127,13.07881853
9.117779495,9.117779495,1.31778386,622.1871856,724.2983703,73.04721397,0.004359915,15.85238044
9.117779495,9.117779495,1.31778386,622.1871856,724.2983703,91.30901747,-1.72E-04,18.71637959
2.047058496,2.047058496,7.71726973,415.9032844,446.002938,0,0.005186412,0.015784677
2.047058496,2.047058496,7.71726973,415.9032844,446.002938,0.052172848,0.004149061,0.01955464
2.047058496,2.047058496,7.71726973,415.9032844,446.002938,0.104345697,0.003111625,0.023378314
2.047058496,2.047058496,7.71726973,415.9032844,446.002938,0.156518545,0.002074067,0.027256009
2.047058496,2.047058496,7.71726973,415.9032844,446.002938,0.208691393,0.001036657,0.031185871
2.047058496,2.047058496,7.71726973,415.9032844,446.002938,0.260864241,-1.18E-06,0.035171381
3.428645812,3.428645812,8.672228958,309.8379247,775.0079962,0,0.089497033,0.555550059
3.428645812,3.428645812,8.672228958,309.8379247,775.0079962,1.883488866,0.071555107,0.696434544
3.428645812,3.428645812,8.672228958,309.8379247,775.0079962,3.766977731,0.052869746,0.873758222
3.428645812,3.428645812,8.672228958,309.8379247,775.0079962,5.650466597,0.032954454,1.093403504
3.428645812,3.428645812,8.672228958,309.8379247,775.0079962,7.533955463,0.010960948,1.366008901
3.428645812,3.428645812,8.672228958,309.8379247,775.0079962,9.417444328,-0.013948903,1.704070294
6.916671515,6.916671515,4.050392029,546.6589053,715.6845707,0,0.035755151,1.666663585
6.916671515,6.916671515,4.050392029,546.6589053,715.6845707,5.848914218,0.028605229,2.367133499
6.916671515,6.916671515,4.050392029,546.6589053,715.6845707,11.69782844,0.021415026,3.109700229
6.916671515,6.916671515,4.050392029,546.6589053,715.6845707,17.54674266,0.014163417,3.895605242
6.916671515,6.916671515,4.050392029,546.6589053,715.6845707,23.39565687,0.006814735,4.728078843
6.916671515,6.916671515,4.050392029,546.6589053,715.6845707,29.24457109,-6.63E-04,5.611174866
9.310319163,9.310319163,6.730574336,577.0722598,645.5337578,0,0.014292817,0.744247772
9.310319163,9.310319163,6.730574336,577.0722598,645.5337578,2.639088176,0.01143807,1.066061143
9.310319163,9.310319163,6.730574336,577.0722598,645.5337578,5.278176352,0.0085804,1.395288319
9.310319163,9.310319163,6.730574336,577.0722598,645.5337578,7.917264529,0.005718909,1.732233183
9.310319163,9.310319163,6.730574336,577.0722598,645.5337578,10.5563527,0.002851711,2.076821356
9.310319163,9.310319163,6.730574336,577.0722598,645.5337578,13.19544088,-2.04E-05,2.429432381
5.375627127,5.375627127,2.307306422,326.5404051,400.4486272,0,0.01131478,0.861024557
5.375627127,5.375627127,2.307306422,326.5404051,400.4486272,2.893223015,0.009051631,1.009858153
5.375627127,5.375627127,2.307306422,326.5404051,400.4486272,5.78644603,0.006785703,1.16524692
5.375627127,5.375627127,2.307306422,326.5404051,400.4486272,8.679669045,0.004516536,1.327051789
5.375627127,5.375627127,2.307306422,326.5404051,400.4486272,11.57289206,0.002241468,1.495922438
5.375627127,5.375627127,2.307306422,326.5404051,400.4486272,14.46611507,-3.99E-05,1.671599031
3.967268245,3.967268245,3.092929413,365.5012725,594.8321786,0,0.041873745,1.060586642
3.967268245,3.967268245,3.092929413,365.5012725,594.8321786,3.699975601,0.033499135,1.329116335
3.967268245,3.967268245,3.092929413,365.5012725,594.8321786,7.399951202,0.025048258,1.630073461
3.967268245,3.967268245,3.092929413,365.5012725,594.8321786,11.0999268,0.016478174,1.96508813
3.967268245,3.967268245,3.092929413,365.5012725,594.8321786,14.7999024,0.007739977,2.336585939
3.967268245,3.967268245,3.092929413,365.5012725,594.8321786,18.499878,-0.001242291,2.747822217
1.595411981,1.595411981,11.44499196,722.8999364,799.9712907,0,0.017657436,0.01422277
1.595411981,1.595411981,11.44499196,722.8999364,799.9712907,0.044534477,0.014125978,0.021685988
1.595411981,1.595411981,11.44499196,722.8999364,799.9712907,0.089068954,0.010592113,0.029295776
1.595411981,1.595411981,11.44499196,722.8999364,799.9712907,0.133603432,0.007055117,0.037056361
1.595411981,1.595411981,11.44499196,722.8999364,799.9712907,0.178137909,0.003511301,0.044988119
1.595411981,1.595411981,11.44499196,722.8999364,799.9712907,0.222672386,-4.06E-05,0.05307979
8.279377411,8.279377411,5.474848231,450.22375,505.332327,0,0.010079752,0.636635486
8.279377411,8.279377411,5.474848231,450.22375,505.332327,2.254454276,0.008060178,0.824760254
8.279377411,8.279377411,5.474848231,450.22375,505.332327,4.508908552,0.006039868,1.01725862
8.279377411,8.279377411,5.474848231,450.22375,505.332327,6.763362829,0.004018331,1.214443819
8.279377411,8.279377411,5.474848231,450.22375,505.332327,9.017817105,0.001995121,1.416365644
8.279377411,8.279377411,5.474848231,450.22375,505.332327,11.27227138,-3.02E-05,1.623034225
6.183361244,6.183361244,7.437236692,418.9310068,819.0687404,0,0.082873303,1.769351087
6.183361244,6.183361244,7.437236692,418.9310068,819.0687404,5.952751556,0.066256422,2.355603658
6.183361244,6.183361244,7.437236692,418.9310068,819.0687404,11.90550311,0.049135369,3.045054212
6.183361244,6.183361244,7.437236692,418.9310068,819.0687404,17.85825467,0.031223357,3.847195818
6.183361244,6.183361244,7.437236692,418.9310068,819.0687404,23.81100622,0.012093191,4.782592786
6.183361244,6.183361244,7.437236692,418.9310068,819.0687404,29.76375778,-0.008470071,5.864319367
8.739328946,8.739328946,10.77656974,341.1564252,622.4272361,0,0.051280226,1.802205878
8.739328946,8.739328946,10.77656974,341.1564252,622.4272361,6.274827534,0.041018577,2.240936216
8.739328946,8.739328946,10.77656974,341.1564252,622.4272361,12.54965507,0.030613039,2.7476653
8.739328946,8.739328946,10.77656974,341.1564252,622.4272361,18.8244826,0.019982432,3.327142191
8.739328946,8.739328946,10.77656974,341.1564252,622.4272361,25.09931013,0.009035308,3.98607537
8.739328946,8.739328946,10.77656974,341.1564252,622.4272361,31.37413767,-0.002380325,4.734963916
1.221994209,1.221994209,2.02975445,510.4604274,563.0980925,0,0.010287386,0.033371587
1.221994209,1.221994209,2.02975445,510.4604274,563.0980925,0.122295641,0.008227466,0.045706758
1.221994209,1.221994209,2.02975445,510.4604274,563.0980925,0.244591283,0.006166035,0.05828657
1.221994209,1.221994209,2.02975445,510.4604274,563.0980925,0.366886924,0.00410281,0.071117396
1.221994209,1.221994209,2.02975445,510.4604274,563.0980925,0.489182566,0.002035548,0.084228461
