a,b,c,Tc,Th,Ih,V,Q
9.432411467,9.432411467,4.991102954,487.0632095,579.3503503,0,0.020201273,1.77804284
9.432411467,9.432411467,4.991102954,487.0632095,579.3503503,3.531197139,0.016152899,2.161512319
9.432411467,9.432411467,4.991102954,487.0632095,579.3503503,7.062394279,0.012099331,2.558946139
9.432411467,9.432411467,4.991102954,487.0632095,579.3503503,10.59359142,0.008036271,2.969977459
9.432411467,9.432411467,4.991102954,487.0632095,579.3503503,14.12478856,0.003959274,3.394791556
9.432411467,9.432411467,4.991102954,487.0632095,579.3503503,17.6559857,-1.37E-04,3.833956742
8.219422831,8.219422831,7.940555059,373.1743662,474.0339758,0,0.020571283,0.894857089
8.219422831,8.219422831,7.940555059,373.1743662,474.0339758,2.355106933,0.016455678,1.07953782
8.219422831,8.219422831,7.940555059,373.1743662,474.0339758,4.710213867,0.012330031,1.273534018
8.219422831,8.219422831,7.940555059,373.1743662,474.0339758,7.0653208,0.008189076,1.477133325
8.219422831,8.219422831,7.940555059,373.1743662,474.0339758,9.420427733,0.004022813,1.691053288
8.219422831,8.219422831,7.940555059,373.1743662,474.0339758,11.77553467,-1.73E-04,1.915104385
1.436457681,1.436457681,11.31636656,314.23537,524.5608335,0,0.042472866,0.040715779
1.436457681,1.436457681,11.31636656,314.23537,524.5608335,0.103850762,0.033979834,0.047859496
1.436457681,1.436457681,11.31636656,314.23537,524.5608335,0.207701524,0.02539865,0.055843737
1.436457681,1.436457681,11.31636656,314.23537,524.5608335,0.311552287,0.016667097,0.064695003
1.436457681,1.436457681,11.31636656,314.23537,524.5608335,0.415403049,0.007720241,0.074505642
1.436457681,1.436457681,11.31636656,314.23537,524.5608335,0.519253811,-0.001516933,0.085331026
5.938087641,5.938087641,4.432819317,290.5067163,392.1675548,0,0.018725797,0.898568344
5.938087641,5.938087641,4.432819317,290.5067163,392.1675548,2.507862788,0.014992955,1.037759836
5.938087641,5.938087641,4.432819317,290.5067163,392.1675548,5.015725576,0.011248631,1.186324151
5.938087641,5.938087641,4.432819317,290.5067163,392.1675548,7.523588365,0.00748656,1.344288229
5.938087641,5.938087641,4.432819317,290.5067163,392.1675548,10.03145115,0.003704901,1.511326203
5.938087641,5.938087641,4.432819317,290.5067163,392.1675548,12.53931394,-1.07E-04,1.688356204
6.690393302,6.690393302,10.39183964,448.6070702,505.9141746,0,0.012292626,0.255872749
6.690393302,6.690393302,10.39183964,448.6070702,505.9141746,0.614237364,0.00983469,0.315802674
6.690393302,6.690393302,10.39183964,448.6070702,505.9141746,1.228474729,0.007374011,0.377214227
6.690393302,6.690393302,10.39183964,448.6070702,505.9141746,1.842712093,0.004909837,0.440125412
6.690393302,6.690393302,10.39183964,448.6070702,505.9141746,2.456949457,0.002440795,0.504586965
6.690393302,6.690393302,10.39183964,448.6070702,505.9141746,3.071186822,-3.43E-05,0.570588329
10.98294365,10.98294365,2.717079299,413.6722052,547.6921647,0,0.028662643,6.225763677
10.98294365,10.98294365,2.717079299,413.6722052,547.6921647,14.51528885,0.022916596,7.554231929
10.98294365,10.98294365,2.717079299,413.6722052,547.6921647,29.0305777,0.017149169,8.962481746
10.98294365,10.98294365,2.717079299,413.6722052,547.6921647,43.54586655,0.01134366,10.45255976
10.98294365,10.98294365,2.717079299,413.6722052,547.6921647,58.0611554,0.005485646,12.02485955
10.98294365,10.98294365,2.717079299,413.6722052,547.6921647,72.57644425,-4.42E-04,13.68198536
4.199960222,4.199960222,6.087696587,350.768978,448.2121314,0,0.019361089,0.297874894
4.199960222,4.199960222,6.087696587,350.768978,448.2121314,0.805406155,0.015489398,0.355781906
4.199960222,4.199960222,6.087696587,350.768978,448.2121314,1.61081231,0.011608406,0.416712877
4.199960222,4.199960222,6.087696587,350.768978,448.2121314,2.416218465,0.007713911,0.480730636
4.199960222,4.199960222,6.087696587,350.768978,448.2121314,3.221624619,0.003797406,0.548059633
4.199960222,4.199960222,6.087696587,350.768978,448.2121314,4.027030774,-1.47E-04,0.618753174
11.42672748,11.42672748,8.533379001,340.2821417,402.9822104,0,0.011997879,1.031179901
11.42672748,11.42672748,8.533379001,340.2821417,402.9822104,2.840990138,0.009599581,1.219805304
11.42672748,11.42672748,8.533379001,340.2821417,402.9822104,5.681980276,0.007199141,1.415060862
11.42672748,11.42672748,8.533379001,340.2821417,402.9822104,8.522970414,0.004795337,1.617010081
11.42672748,11.42672748,8.533379001,340.2821417,402.9822104,11.36396055,0.002387351,1.82576789
11.42672748,11.42672748,8.533379001,340.2821417,402.9822104,14.20495069,-2.78E-05,2.041791695
5.471457644,5.471457644,9.561621949,387.3306516,539.1480482,0,0.032010975,0.496722923
5.471457644,5.471457644,9.561621949,387.3306516,539.1480482,1.199887597,0.025595756,0.598999028
5.471457644,5.471457644,9.561621949,387.3306516,539.1480482,2.399775195,0.01914551,0.70862083
5.471457644,5.471457644,9.561621949,387.3306516,539.1480482,3.599662792,0.012637942,0.825886931
5.471457644,5.471457644,9.561621949,387.3306516,539.1480482,4.799550389,0.006051262,0.950935166
