a,b,c,Tc,Th,Ih,V,Q
11.34730312,11.34730312,7.8425737,411.9352816,490.8724663,0,0.016165607,1.074333491
11.34730312,11.34730312,7.8425737,411.9352816,490.8724663,2.737290886,0.012949238,1.308995471
11.34730312,11.34730312,7.8425737,411.9352816,490.8724663,5.474581771,0.009731473,1.552840738
11.34730312,11.34730312,7.8425737,411.9352816,490.8724663,8.211872657,0.006517489,1.806235624
11.34730312,11.34730312,7.8425737,411.9352816,490.8724663,10.94916354,0.003311942,2.067775782
11.34730312,11.34730312,7.8425737,411.9352816,490.8724663,13.68645443,1.18E-04,2.338317183
8.604584277,8.604584277,5.010184952,491.9832883,582.2430951,0,0.015519607,1.376233231
8.604584277,8.604584277,5.010184952,491.9832883,582.2430951,2.675750424,0.013163874,1.603968441
8.604584277,8.604584277,5.010184952,491.9832883,582.2430951,5.351500848,0.010805135,1.838523904
8.604584277,8.604584277,5.010184952,491.9832883,582.2430951,8.027251273,0.008445404,2.079797366
8.604584277,8.604584277,5.010184952,491.9832883,582.2430951,10.7030017,0.006086694,2.327675569
8.604584277,8.604584277,5.010184952,491.9832883,582.2430951,13.37875212,0.003731389,2.582074744
2.966970908,2.966970908,11.10403931,288.5964923,369.1568836,0,0.017163868,0.050121274
2.966970908,2.966970908,11.10403931,288.5964923,369.1568836,0.129736013,0.013739793,0.058352313
2.966970908,2.966970908,11.10403931,288.5964923,369.1568836,0.259472026,0.010305722,0.067012854
2.966970908,2.966970908,11.10403931,288.5964923,369.1568836,0.389208038,0.006856627,0.076111494
2.966970908,2.966970908,11.10403931,288.5964923,369.1568836,0.518944051,0.003387463,0.085658165
2.966970908,2.966970908,11.10403931,288.5964923,369.1568836,0.648680064,-1.07E-04,0.095659776
2.019302818,2.019302818,10.51276825,326.3301663,530.4231715,0,0.042369409,0.065289766
2.019302818,2.019302818,10.51276825,326.3301663,530.4231715,0.164265984,0.033976281,0.07682465
2.019302818,2.019302818,10.51276825,326.3301663,530.4231715,0.328531967,0.025574431,0.089883724
2.019302818,2.019302818,10.51276825,326.3301663,530.4231715,0.492797951,0.017235071,0.104394226
2.019302818,2.019302818,10.51276825,326.3301663,530.4231715,0.657063934,0.008979763,0.120273764
2.019302818,2.019302818,10.51276825,326.3301663,530.4231715,0.821329918,8.72E-04,0.137488419
7.794140835,7.794140835,3.316106427,392.3953433,557.7521391,0,0.03231137,2.682393366
7.794140835,7.794140835,3.316106427,392.3953433,557.7521391,6.565704108,0.026122457,3.192828198
7.794140835,7.794140835,3.316106427,392.3953433,557.7521391,13.13140822,0.019913924,3.750583626
7.794140835,7.794140835,3.316106427,392.3953433,557.7521391,19.69711232,0.013722852,4.354620748
7.794140835,7.794140835,3.316106427,392.3953433,557.7521391,26.26281643,0.007582633,4.998111232
7.794140835,7.794140835,3.316106427,392.3953433,557.7521391,32.82852054,0.001517185,5.682895227
10.54638725,10.54638725,11.63674591,434.2200835,475.5367859,0,0.008415067,0.328900274
10.54638725,10.54638725,11.63674591,434.2200835,475.5367859,0.839786628,0.006744961,0.403887038
10.54638725,10.54638725,11.63674591,434.2200835,475.5367859,1.679573257,0.005074262,0.480287273
10.54638725,10.54638725,11.63674591,434.2200835,475.5367859,2.519359885,0.003404647,0.558174115
10.54638725,10.54638725,11.63674591,434.2200835,475.5367859,3.359146513,0.001736713,0.637360439
10.54638725,10.54638725,11.63674591,434.2200835,475.5367859,4.198933141,6.98E-05,0.717910597
6.216975492,6.216975492,6.144736931,310.713265,442.6153444,0,0.028820342,0.640026001
6.216975492,6.216975492,6.144736931,310.713265,442.6153444,1.612374455,0.02305894,0.754484162
6.216975492,6.216975492,6.144736931,310.713265,442.6153444,3.224748911,0.01729238,0.878023687
6.216975492,6.216975492,6.144736931,310.713265,442.6153444,4.837123366,0.011521611,1.010520983
6.216975492,6.216975492,6.144736931,310.713265,442.6153444,6.449497821,0.005744613,1.152368227
6.216975492,6.216975492,6.144736931,310.713265,442.6153444,8.061872276,-3.45E-05,1.303592251
4.866559663,4.866559663,10.90534284,417.6837793,520.289079,0,0.020326837,0.192390971
4.866559663,4.866559663,10.90534284,417.6837793,520.289079,0.496558805,0.016263044,0.234130288
4.866559663,4.866559663,10.90534284,417.6837793,520.289079,0.993117609,0.012194921,0.278119652
4.866559663,4.866559663,10.90534284,417.6837793,520.289079,1.489676414,0.008134104,0.324330369
