a,b,c,Tc,Th,Ih,V,Q
4.747902735,4.747902735,11.46099878,368.6373088,574.9599391,0,0.027162092,2.601063657
4.747902735,4.747902735,11.46099878,368.6373088,574.9599391,3.694346759,0.021797728,2.793547927
4.747902735,4.747902735,11.46099878,368.6373088,574.9599391,7.388693517,0.016405291,3.004601984
4.747902735,4.747902735,11.46099878,368.6373088,574.9599391,11.08304028,0.010972068,3.234730241
4.747902735,4.747902735,11.46099878,368.6373088,574.9599391,14.77738703,0.005485887,3.484303158
4.747902735,4.747902735,11.46099878,368.6373088,574.9599391,18.47173379,-6.95E-05,3.754446681
11.79822106,11.79822106,1.878066445,916.4281362,950.6578147,0,0.00733428,11.40567716
11.79822106,11.79822106,1.878066445,916.4281362,950.6578147,12.94203617,0.005863293,13.95653636
11.79822106,11.79822106,1.878066445,916.4281362,950.6578147,25.88407234,0.004392138,16.52590154
11.79822106,11.79822106,1.878066445,916.4281362,950.6578147,38.82610851,0.002920743,19.11382852
11.79822106,11.79822106,1.878066445,916.4281362,950.6578147,51.76814469,0.001449035,21.72037469
11.79822106,11.79822106,1.878066445,916.4281362,950.6578147,64.71018086,-2.31E-05,24.34889026
8.339724634,8.339724634,6.937768195,739.3327308,1161.574134,0,0.090935435,19.10288708
8.339724634,8.339724634,6.937768195,739.3327308,1161.574134,21.17232488,0.072819644,22.71698549
8.339724634,8.339724634,6.937768195,739.3327308,1161.574134,42.34464976,0.054450933,26.70400451
8.339724634,8.339724634,6.937768195,739.3327308,1161.574134,63.51697463,0.035734768,31.05855638
8.339724634,8.339724634,6.937768195,739.3327308,1161.574134,84.68929951,0.016459236,35.85417281
8.339724634,8.339724634,6.937768195,739.3327308,1161.574134,105.8616244,-0.003534294,41.11730273
5.214200583,5.214200583,9.317682914,438.684702,855.3742206,0,0.069486252,6.640793389
5.214200583,5.214200583,9.317682914,438.684702,855.3742206,8.582513997,0.055858074,7.354974199
5.214200583,5.214200583,9.317682914,438.684702,855.3742206,17.16502799,0.041949151,8.17668391
5.214200583,5.214200583,9.317682914,438.684702,855.3742206,25.74754199,0.027620109,9.114990033
5.214200583,5.214200583,9.317682914,438.684702,855.3742206,34.33005599,0.012712582,10.18190328
5.214200583,5.214200583,9.317682914,438.684702,855.3742206,42.91256998,-0.003011289,11.3971758
7.182821264,7.182821264,11.25660496,802.8798104,1182.146709,0,0.083861783,7.698230789
7.182821264,7.182821264,11.25660496,802.8798104,1182.146709,8.360726259,0.067122118,9.267769096
7.182821264,7.182821264,11.25660496,802.8798104,1182.146709,16.72145252,0.050208578,10.97123174
7.182821264,7.182821264,11.25660496,802.8798104,1182.146709,25.08217878,0.033041924,12.81151529
7.182821264,7.182821264,11.25660496,802.8798104,1182.146709,33.44290504,0.015475808,14.80974119
7.182821264,7.182821264,11.25660496,802.8798104,1182.146709,41.8036313,-0.002595082,16.97214498
10.5594501,10.5594501,5.852366383,625.5806704,926.4124109,0,0.057261046,28.26491119
10.5594501,10.5594501,5.852366383,625.5806704,926.4124109,34.93740071,0.045858491,32.6723615
10.5594501,10.5594501,5.852366383,625.5806704,926.4124109,69.87480143,0.034354422,37.455881
10.5594501,10.5594501,5.852366383,625.5806704,926.4124109,104.8122021,0.022698807,42.63489571
10.5594501,10.5594501,5.852366383,625.5806704,926.4124109,139.7496029,0.010831878,48.22942785
10.5594501,10.5594501,5.852366383,625.5806704,926.4124109,174.6870036,-0.001319423,54.28394442
