a,b,c,Tc,Th,Ih,V,Q
11.40561623,11.40561623,1.377649948,546.592429,665.1582007,0,0.034628402,12.11342223
11.40561623,11.40561623,1.377649948,546.592429,665.1582007,20.26554393,0.027731003,15.41881687
11.40561623,11.40561623,1.377649948,546.592429,665.1582007,40.53108785,0.020766901,18.84613717
11.40561623,11.40561623,1.377649948,546.592429,665.1582007,60.79663178,0.013676407,22.42217936
11.40561623,11.40561623,1.377649948,546.592429,665.1582007,81.06217571,0.00642394,26.14562827
11.40561623,11.40561623,1.377649948,546.592429,665.1582007,101.3277196,-0.001037881,30.02545255
8.291964724,8.291964724,10.86410818,311.150545,538.8697551,0,0.052832649,2.024382305
8.291964724,8.291964724,10.86410818,311.150545,538.8697551,4.984492428,0.042511374,2.413269308
8.291964724,8.291964724,10.86410818,311.150545,538.8697551,9.968984856,0.031964773,2.849243621
8.291964724,8.291964724,10.86410818,311.150545,538.8697551,14.95347728,0.021045783,3.337168417
8.291964724,8.291964724,10.86410818,311.150545,538.8697551,19.93796971,0.009558135,3.881809525
8.291964724,8.291964724,10.86410818,311.150545,538.8697551,24.92246214,-0.002791618,4.496719629
6.776855476,6.776855476,9.578587515,358.9051912,429.7668992,0,0.015777564,0.502466897
6.776855476,6.776855476,9.578587515,358.9051912,429.7668992,1.302146568,0.012628263,0.608615391
6.776855476,6.776855476,9.578587515,358.9051912,429.7668992,2.604293136,0.009472893,0.718672569
6.776855476,6.776855476,9.578587515,358.9051912,429.7668992,3.906439705,0.006306728,0.832788389
6.776855476,6.776855476,9.578587515,358.9051912,429.7668992,5.208586273,0.003129239,0.950718236
6.776855476,6.776855476,9.578587515,358.9051912,429.7668992,6.510732841,-6.87E-05,1.073075843
3.981484789,3.981484789,6.982389708,422.8763643,740.7791779,0,0.090318195,0.810945034
3.981484789,3.981484789,6.982389708,422.8763643,740.7791779,1.18263936,0.072906026,0.96602525
3.981484789,3.981484789,6.982389708,422.8763643,740.7791779,2.36527872,0.05441404,1.137492689
3.981484789,3.981484789,6.982389708,422.8763643,740.7791779,3.547918081,0.03386337,1.330362898
3.981484789,3.981484789,6.982389708,422.8763643,740.7791779,4.730557441,0.009965535,1.551897733
3.981484789,3.981484789,6.982389708,422.8763643,740.7791779,5.913196801,-0.02006021,1.815715111
1.33714829,1.33714829,2.313343165,454.7048376,530.2733934,0,0.018825463,0.072027288
1.33714829,1.33714829,2.313343165,454.7048376,530.2733934,0.170831935,0.015061886,0.091705692
1.33714829,1.33714829,2.313343165,454.7048376,530.2733934,0.341663871,0.011287463,0.112014397
1.33714829,1.33714829,2.313343165,454.7048376,530.2733934,0.512495806,0.007499765,0.132925578
1.33714829,1.33714829,2.313343165,454.7048376,530.2733934,0.683327742,0.003687297,0.154548317
1.33714829,1.33714829,2.313343165,454.7048376,530.2733934,0.854159677,-1.55E-04,0.176864556
9.455944926,9.455944926,4.525619333,389.7611626,720.2373214,0,0.090705103,7.616210453
9.455944926,9.455944926,4.525619333,389.7611626,720.2373214,12.17392624,0.073291357,9.05399178
9.455944926,9.455944926,4.525619333,389.7611626,720.2373214,24.34785247,0.054730501,10.66791149
9.455944926,9.455944926,4.525619333,389.7611626,720.2373214,36.52177871,0.033969281,12.50192195
9.455944926,9.455944926,4.525619333,389.7611626,720.2373214,48.69570495,0.009367933,14.64655127
9.455944926,9.455944926,4.525619333,389.7611626,720.2373214,60.86963119,-0.022990649,17.2783232
2.723772462,2.723772462,3.605916011,531.7565973,639.9242349,0,0.030727419,0.246244125
2.723772462,2.723772462,3.605916011,531.7565973,639.9242349,0.452707464,0.02459574,0.316146099
2.723772462,2.723772462,3.605916011,531.7565973,639.9242349,0.905414928,0.018420382,0.388349551
2.723772462,2.723772462,3.605916011,531.7565973,639.9242349,1.358122392,0.012152029,0.463665943
2.723772462,2.723772462,3.605916011,531.7565973,639.9242349,1.810829857,0.005770669,0.541894948
2.723772462,2.723772462,3.605916011,531.7565973,639.9242349,2.263537321,-7.58E-04,0.623224733
4.31346367,4.31346367,4.143857243,584.2626092,647.473979,0,0.018720816,0.303209362
4.31346367,4.31346367,4.143857243,584.2626092,647.473979,0.501753009,0.014979227,0.390793451
4.31346367,4.31346367,4.143857243,584.2626092,647.473979,1.003506019,0.011227433,0.48013294
4.31346367,4.31346367,4.143857243,584.2626092,647.473979,1.505259028,0.007454398,0.571560289
4.31346367,4.31346367,4.143857243,584.2626092,647.473979,2.007012038,0.003656294,0.664913479
4.31346367,4.31346367,4.143857243,584.2626092,647.473979,2.508765047,-1.73E-04,0.760213606
1.96746149,1.96746149,8.066334561,319.4016904,771.7024248,0,0.123795742,0.261698447
1.96746149,1.96746149,8.066334561,319.4016904,771.7024248,0.357576683,0.101092472,0.298367702
1.96746149,1.96746149,8.066334561,319.4016904,771.7024248,0.715153366,0.076020624,0.341356159
1.96746149,1.96746149,8.066334561,319.4016904,771.7024248,1.072730049,0.046251939,0.392846058
1.96746149,1.96746149,8.066334561,319.4016904,771.7024248,1.430306732,0.006682779,0.459030646
