a,b,c,Tc,Th,Ih,V,Q
9.060902449,9.060902449,10.22827138,568.3475348,670.8849023,0,0.032852651,0.627307012
9.060902449,9.060902449,10.22827138,568.3475348,670.8849023,1.771189465,0.026326319,0.956447693
9.060902449,9.060902449,10.22827138,568.3475348,670.8849023,3.542378931,0.019677792,1.296146082
9.060902449,9.060902449,10.22827138,568.3475348,670.8849023,5.313568396,0.012821665,1.651404219
9.060902449,9.060902449,10.22827138,568.3475348,670.8849023,7.084757862,0.005716288,2.022384163
9.060902449,9.060902449,10.22827138,568.3475348,670.8849023,8.855947327,-0.001704458,2.411103117
9.600016078,9.600016078,4.30826949,421.2297971,534.2084139,0,0.028273253,2.963910294
9.600016078,9.600016078,4.30826949,421.2297971,534.2084139,11.42932397,0.022678755,4.201739785
9.600016078,9.600016078,4.30826949,421.2297971,534.2084139,22.85864793,0.016978235,5.505313744
9.600016078,9.600016078,4.30826949,421.2297971,534.2084139,34.2879719,0.01112917,6.872122671
9.600016078,9.600016078,4.30826949,421.2297971,534.2084139,45.71729587,0.005034255,8.32224148
9.600016078,9.600016078,4.30826949,421.2297971,534.2084139,57.14661984,-0.001385538,9.861602544
1.428391319,1.428391319,1.145320895,317.7807342,759.4512558,0,0.12188503,0.862774338
1.428391319,1.428391319,1.145320895,317.7807342,759.4512558,2.012623089,0.102381984,1.060735371
1.428391319,1.428391319,1.145320895,317.7807342,759.4512558,4.025246179,0.079065755,1.297712563
1.428391319,1.428391319,1.145320895,317.7807342,759.4512558,6.037869268,0.048534971,1.595535293
1.428391319,1.428391319,1.145320895,317.7807342,759.4512558,8.050492358,0.002037335,2.009152854
5.625842537,5.625842537,9.755383085,297.5620042,530.2253637,0,0.051799318,1.15184363
5.625842537,5.625842537,9.755383085,297.5620042,530.2253637,4.510865372,0.042061898,1.4767575
5.625842537,5.625842537,9.755383085,297.5620042,530.2253637,9.021730745,0.031578513,1.846394743
5.625842537,5.625842537,9.755383085,297.5620042,530.2253637,13.53259612,0.019871198,2.270216969
5.625842537,5.625842537,9.755383085,297.5620042,530.2253637,18.04346149,0.005648054,2.779389275
5.625842537,5.625842537,9.755383085,297.5620042,530.2253637,22.55432686,-0.013754314,3.429726934
7.15984768,7.15984768,8.094346485,519.3028498,711.4159695,0,0.060660538,0.969691098
7.15984768,7.15984768,8.094346485,519.3028498,711.4159695,2.620671802,0.048935197,1.415589296
7.15984768,7.15984768,8.094346485,519.3028498,711.4159695,5.241343604,0.036629844,1.892836281
7.15984768,7.15984768,8.094346485,519.3028498,711.4159695,7.862015406,0.023309289,2.40845227
7.15984768,7.15984768,8.094346485,519.3028498,711.4159695,10.48268721,0.008674291,2.973769593
7.15984768,7.15984768,8.094346485,519.3028498,711.4159695,13.10335901,-0.00756062,3.593944158
4.3741082,4.3741082,11.07701717,376.6615006,611.5398004,0,0.060432851,0.479241967
4.3741082,4.3741082,11.07701717,376.6615006,611.5398004,1.591178958,0.049188442,0.642785729
4.3741082,4.3741082,11.07701717,376.6615006,611.5398004,3.182357917,0.037013202,0.824433591
4.3741082,4.3741082,11.07701717,376.6615006,611.5398004,4.773536875,0.023218454,1.028103011
4.3741082,4.3741082,11.07701717,376.6615006,611.5398004,6.364715834,0.005844669,1.269910444
4.3741082,4.3741082,11.07701717,376.6615006,611.5398004,7.955894792,-0.02103544,1.593588868
7.253343392,7.253343392,3.914579611,347.5895484,417.3724793,0,0.014569996,1.564064727
7.253343392,7.253343392,3.914579611,347.5895484,417.3724793,7.152704102,0.011672174,2.093807496
7.253343392,7.253343392,3.914579611,347.5895484,417.3724793,14.3054082,0.008751555,2.644323651
7.253343392,7.253343392,3.914579611,347.5895484,417.3724793,21.45811231,0.005801615,3.214391112
7.253343392,7.253343392,3.914579611,347.5895484,417.3724793,28.61081641,0.002801439,3.808695238
7.253343392,7.253343392,3.914579611,347.5895484,417.3724793,35.76352051,-2.59E-04,4.427299861
1.291520988,1.291520988,8.872499704,553.0727466,609.2311858,0,0.01656599,0.009080194
1.291520988,1.291520988,8.872499704,553.0727466,609.2311858,0.028235186,0.013258942,0.013732506
1.291520988,1.291520988,8.872499704,553.0727466,609.2311858,0.056470373,0.009934547,0.018467103
1.291520988,1.291520988,8.872499704,553.0727466,609.2311858,0.084705559,0.006579808,0.023305062
1.291520988,1.291520988,8.872499704,553.0727466,609.2311858,0.112940745,0.003183495,0.028256525
1.291520988,1.291520988,8.872499704,553.0727466,609.2311858,0.141175932,-2.62E-04,0.03331973
6.04696415,6.04696415,2.935713798,467.767894,722.4644522,0,0.077690584,2.73922818
6.04696415,6.04696415,2.935713798,467.767894,722.4644522,7.312885404,0.063182313,3.836509586
6.04696415,6.04696415,2.935713798,467.767894,722.4644522,14.62577081,0.047403412,5.046328814
6.04696415,6.04696415,2.935713798,467.767894,722.4644522,21.93865621,0.029544988,6.393093611
6.04696415,6.04696415,2.935713798,467.767894,722.4644522,29.25154162,0.008470236,7.944599769
6.04696415,6.04696415,2.935713798,467.767894,722.4644522,36.56442702,-0.016538265,9.728791155
8.762903055,8.762903055,5.235691822,301.6857022,568.9989689,0,0.06192769,5.631252227
8.762903055,8.762903055,5.235691822,301.6857022,568.9989689,20.325168,0.050572751,7.186708625
8.762903055,8.762903055,5.235691822,301.6857022,568.9989689,40.650336,0.038084188,8.975715963
8.762903055,8.762903055,5.235691822,301.6857022,568.9989689,60.975504,0.023598354,11.06531547
8.762903055,8.762903055,5.235691822,301.6857022,568.9989689,81.30067199,0.004506681,13.678077
8.762903055,8.762903055,5.235691822,301.6857022,568.9989689,101.62584,-0.030799756,17.66531194
3.823643755,3.823643755,5.074341047,635.5111713,776.6595862,0,0.047888866,0.26196285
3.823643755,3.823643755,5.074341047,635.5111713,776.6595862,0.603110929,0.038407486,0.394151766
3.823643755,3.823643755,5.074341047,635.5111713,776.6595862,1.206221858,0.02890404,0.531699971
3.823643755,3.823643755,5.074341047,635.5111713,776.6595862,1.809332787,0.019334599,0.674347155
3.823643755,3.823643755,5.074341047,635.5111713,776.6595862,2.412443716,0.00965295,0.82224549
3.823643755,3.823643755,5.074341047,635.5111713,776.6595862,3.015554645,-2.20E-04,0.975918152
3.150273805,3.150273805,9.460880595,471.7456179,647.7940517,0,0.050746198,0.173875898
3.150273805,3.150273805,9.460880595,471.7456179,647.7940517,0.530418943,0.041023656,0.248523062
3.150273805,3.150273805,9.460880595,471.7456179,647.7940517,1.060837886,0.030778786,0.328589148
3.150273805,3.150273805,9.460880595,471.7456179,647.7940517,1.591256828,0.019590938,0.414896266
3.150273805,3.150273805,9.460880595,471.7456179,647.7940517,2.121675771,0.006836619,0.510862302
3.150273805,3.150273805,9.460880595,471.7456179,647.7940517,2.652094714,-0.008417361,0.620185228
1.995550956,1.995550956,10.86931207,423.8961336,494.7025247,0,0.017139882,0.03355084
1.995550956,1.995550956,10.86931207,423.8961336,494.7025247,0.136245258,0.013713705,0.047764378
1.995550956,1.995550956,10.86931207,423.8961336,494.7025247,0.272490517,0.010264172,0.062458036
1.995550956,1.995550956,10.86931207,423.8961336,494.7025247,0.408735775,0.006786212,0.077580283
1.995550956,1.995550956,10.86931207,423.8961336,494.7025247,0.544981034,0.003255529,0.093287334
1.995550956,1.995550956,10.86931207,423.8961336,494.7025247,0.681226292,-3.35E-04,0.109542775
11.47764188,11.47764188,6.992751751,391.7307218,676.8694545,0,0.079281623,5.626825825
11.47764188,11.47764188,6.992751751,391.7307218,676.8694545,16.13325789,0.064967842,7.505945187
11.47764188,11.47764188,6.992751751,391.7307218,676.8694545,32.26651578,0.0487794,9.636032048
11.47764188,11.47764188,6.992751751,391.7307218,676.8694545,48.39977367,0.028766543,12.14023353
11.47764188,11.47764188,6.992751751,391.7307218,676.8694545,64.53303156,1.22E-04,15.40545454
11.47764188,11.47764188,6.992751751,391.7307218,676.8694545,80.66628945,-0.043570645,19.91719741
8.591542567,8.591542567,1.241919354,377.666142,484.0110412,0,0.024437005,9.002387944
8.591542567,8.591542567,1.241919354,377.666142,484.0110412,37.55742804,0.019597026,12.35786779
8.591542567,8.591542567,1.241919354,377.666142,484.0110412,75.11485609,0.014678058,15.89122195
8.591542567,8.591542567,1.241919354,377.666142,484.0110412,112.6722841,0.009652031,19.60637758
8.591542567,8.591542567,1.241919354,377.666142,484.0110412,150.2297122,0.004447358,23.55346914
8.591542567,8.591542567,1.241919354,377.666142,484.0110412,187.7871402,-9.81E-04,27.7450265
4.623082462,4.623082462,5.618033435,439.1284214,664.1640586,0,0.06423839,0.835331067
4.623082462,4.623082462,5.618033435,439.1284214,664.1640586,2.477717325,0.052199282,1.161146334
4.623082462,4.623082462,5.618033435,439.1284214,664.1640586,4.95543465,0.03912762,1.518843781
4.623082462,4.623082462,5.618033435,439.1284214,664.1640586,7.433151975,0.024094217,1.918319064
4.623082462,4.623082462,5.618033435,439.1284214,664.1640586,9.9108693,0.005336525,2.389876521
4.623082462,4.623082462,5.618033435,439.1284214,664.1640586,12.38858663,-0.020112072,2.980407895
10.89095933,10.89095933,9.201146136,681.7409244,764.0666344,0,0.027837632,0.661989609
10.89095933,10.89095933,9.201146136,681.7409244,764.0666344,1.488329385,0.022306689,1.009137855
10.89095933,10.89095933,9.201146136,681.7409244,764.0666344,2.97665877,0.016774864,1.363738401
10.89095933,10.89095933,9.201146136,681.7409244,764.0666344,4.464988156,0.011238966,1.726149507
10.89095933,10.89095933,9.201146136,681.7409244,764.0666344,5.953317541,0.005690215,2.096153369
10.89095933,10.89095933,9.201146136,681.7409244,764.0666344,7.441646926,1.20E-04,2.473543072
7.425963406,7.425963406,2.585603992,331.7735602,627.3062189,0,0.074278786,7.909294935
7.425963406,7.425963406,2.585603992,331.7735602,627.3062189,24.97340974,0.061082758,10.17039928
7.425963406,7.425963406,2.585603992,331.7735602,627.3062189,49.94681949,0.046183849,12.77306031
7.425963406,7.425963406,2.585603992,331.7735602,627.3062189,74.92022923,0.027858004,15.85654503
7.425963406,7.425963406,2.585603992,331.7735602,627.3062189,99.89363897,-0.001023641,20.0929408
7.425963406,7.425963406,2.585603992,331.7735602,627.3062189,124.8670487,-0.094563761,30.27754178
11.64870897,11.64870897,11.15229896,310.8526875,402.4905769,0,0.018105422,2.009523295
11.64870897,11.64870897,11.15229896,310.8526875,402.4905769,9.475087034,0.014516035,2.610315714
