a,b,c,Tc,Th,Ih,V,Q
10.33731847,10.33731847,4.721860407,390.5499002,570.9415718,0,0.029400279,4.982834962
10.33731847,10.33731847,4.721860407,390.5499002,570.9415718,7.629004018,0.023551198,5.496936194
10.33731847,10.33731847,4.721860407,390.5499002,570.9415718,15.25800804,0.017681199,6.05423677
10.33731847,10.33731847,4.721860407,390.5499002,570.9415718,22.88701205,0.011781123,6.655065917
10.33731847,10.33731847,4.721860407,390.5499002,570.9415718,30.51601607,0.005838331,7.302065503
10.33731847,10.33731847,4.721860407,390.5499002,570.9415718,38.14502009,-1.57E-04,7.995687276
2.880379171,2.880379171,2.116016712,511.1883783,765.2323001,0,0.049466205,1.05956266
2.880379171,2.880379171,2.116016712,511.1883783,765.2323001,1.577370631,0.03964268,1.22603192
2.880379171,2.880379171,2.116016712,511.1883783,765.2323001,3.154741263,0.02974266,1.407329114
2.880379171,2.880379171,2.116016712,511.1883783,765.2323001,4.732111894,0.01972501,1.604232261
2.880379171,2.880379171,2.116016712,511.1883783,765.2323001,6.309482525,0.009552571,1.816935396
2.880379171,2.880379171,2.116016712,511.1883783,765.2323001,7.886853157,-8.42E-04,2.047377452
11.83933188,11.83933188,5.351206194,284.1261203,432.9710805,0,0.019796531,5.407288757
11.83933188,11.83933188,5.351206194,284.1261203,432.9710805,7.701980485,0.015861027,5.719099142
11.83933188,11.83933188,5.351206194,284.1261203,432.9710805,15.40396097,0.011919209,6.059414584
11.83933188,11.83933188,5.351206194,284.1261203,432.9710805,23.10594145,0.00796471,6.430502058
11.83933188,11.83933188,5.351206194,284.1261203,432.9710805,30.80792194,0.0039958,6.831627916
11.83933188,11.83933188,5.351206194,284.1261203,432.9710805,38.50990242,8.09E-06,7.263861627
6.031511744,6.031511744,9.8746599,612.2574463,651.0421254,0,0.007564206,0.152632137
6.031511744,6.031511744,9.8746599,612.2574463,651.0421254,0.231108744,0.006050417,0.180410299
6.031511744,6.031511744,9.8746599,612.2574463,651.0421254,0.462217488,0.0045364,0.208529162
6.031511744,6.031511744,9.8746599,612.2574463,651.0421254,0.693326232,0.003022028,0.236989677
6.031511744,6.031511744,9.8746599,612.2574463,651.0421254,0.924434976,0.001507176,0.265792838
6.031511744,6.031511744,9.8746599,612.2574463,651.0421254,1.15554372,-8.06E-06,0.294946877
8.725368526,8.725368526,10.6904369,323.1365384,673.349546,0,0.058106736,3.018319187
8.725368526,8.725368526,10.6904369,323.1365384,673.349546,4.478538242,0.046672665,3.297551446
8.725368526,8.725368526,10.6904369,323.1365384,673.349546,8.957076485,0.035082547,3.625225583
8.725368526,8.725368526,10.6904369,323.1365384,673.349546,13.43561473,0.023258315,4.003936326
8.725368526,8.725368526,10.6904369,323.1365384,673.349546,17.91415297,0.01109818,4.438567743
8.725368526,8.725368526,10.6904369,323.1365384,673.349546,22.39269121,-0.001497945,4.932860672
5.30936293,5.30936293,7.75673636,472.0432825,529.0156023,0,0.009550861,0.246221545
5.30936293,5.30936293,7.75673636,472.0432825,529.0156023,0.383773805,0.007644136,0.27698891
5.30936293,5.30936293,7.75673636,472.0432825,529.0156023,0.76754761,0.005736772,0.308475322
5.30936293,5.30936293,7.75673636,472.0432825,529.0156023,1.151321415,0.003828456,0.34068464
