T,sigma,kappa,Seebeck
298.2021921,2.81E+05,3.891238561,1.14E-04
348.3065762,2.60E+05,3.747352843,1.23E-04
397.1583507,2.40E+05,3.593604844,1.33E-04
448.5153445,2.25E+05,3.51401951,1.42E-04
498.6197286,2.13E+05,3.44434931,1.50E-04
548.7241127,2.02E+05,3.419223219,1.57E-04
597.5758873,1.93E+05,3.399022983,1.64E-04
650.1854906,1.85E+05,3.418377578,1.71E-04
699.0372651,1.78E+05,3.437774456,1.75E-04
749.1416493,1.73E+05,3.501662589,1.80E-04
799.2460334,1.67E+05,3.560614297,1.82E-04
849.3504175,162202.381,3.66903597,1.79E-04
