T,sigma,kappa,Seebeck
299.7402854,2.42E+05,3.023836224,5.14E-05
324.2812503,2.23E+05,2.793988404,6.25E-05
348.8222151,2.06E+05,2.580587952,7.03E-05
373.3466901,1.85E+05,2.391817019,8.47E-05
397.8587977,1.64E+05,2.227779439,9.73E-05
423.595274,1.46E+05,2.080168461,1.11E-04
449.3399952,1.33E+05,1.924375332,1.24E-04
472.607122,1.19E+05,1.826044159,1.35E-04
499.5679669,1.08E+05,1.73599897,1.47E-04
524.0594623,9.81E+04,1.637730097,1.57E-04
548.5550801,9.00E+04,1.555908593,1.68E-04
574.2750666,82887.07561,1.482310772,1.76E-04
598.7624395,76488.95111,1.416915869,1.84E-04
623.2621798,71777.43651,1.376233553,1.92E-04
647.7742874,68310.11498,1.351957071,1.98E-04
673.4983964,64317.98657,1.303009536,2.03E-04
698.0187489,61903.23075,1.286998272,2.10E-04
723.771715,59842.50803,1.26272179,2.14E-04
748.29619,57914.98048,1.230242391,2.17E-04
774.0450337,55949.34957,1.230657729,2.19E-04
797.3204053,53530.26461,1.206402014,2.20E-04
824.2688829,50916.21223,1.215041035,2.23E-04
846.3075185,48665.66356,1.190764553,2.23E-04
