T,sigma,kappa,Seebeck
297.515528,8.55E+04,1.493630573,1.16E-04
323.6024845,8.01E+04,1.442675159,1.23E-04
349.689441,7.60E+04,1.394904459,1.31E-04
373.2919255,72282.6087,1.353503185,1.37E-04
422.9813665,65356.26536,1.292993631,1.50E-04
473.9130435,58461.53846,1.219745223,1.62E-04
523.6024845,52882.70378,1.168789809,1.72E-04
573.2919255,47246.89165,1.130573248,1.83E-04
621.7391304,42289.34817,1.076433121,1.94E-04
671.4285714,38273.38129,1.02866242,2.00E-04
722.3602484,34411.38422,0.984076433,2.11E-04
772.0496894,31479.28994,0.936305732,2.13E-04
